id,name
0000003,Brigitte Bardot
0000005,Ingmar Bergman
0000019,Federico Fellini
0000023,Judy Garland
0000035,James Horner
0000036,Buster Keaton
0000041,Akira Kurosawa
0000043,Veronica Lake
0000050,Groucho Marx
0000057,David Niven
0000058,Maureen O'Hara
0000059,Laurence Olivier
0000061,Tyrone Power
0000062,Elvis Presley
0000069,Frank Sinatra
0000073,Shirley Temple
0000075,Spencer Tracy
0000077,Franz Waxman
0000089,Richard Paul
0000097,Pamela Anderson
0000137,Bo Derek
0000145,Sherilyn Fenn
0000175,Stephen King
0000196,Mike Myers
0000214,Mia Sara
0000222,Brooke Shields
0000248,Edward D. Wood Jr.
0000251,Timothy Dowling
0000259,Ginger Lynn
0000268,Ann-Margret
0000271,Anne Archer
0000294,Amanda Bearse
0000296,Robert Beltran
0000298,Candice Bergen
0000300,Juliette Binoche
0000302,Jacqueline Bisset
0000304,Linda Blair
0000309,David Bowie
0000311,Annie Rosar
0000314,Charles Bronson
0000319,Yancy Butler
0000323,Michael Caine
0000324,Barbara Carrera
0000360,Rebecca De Mornay
0000364,Sandra Dee
0000370,Walt Disney
0000383,Jennifer Ehle
0000384,Danny Elfman
0000386,Roland Emmerich
0000392,Morgan Fairchild
0000406,John Ford
0000415,Jami Gertz
0000425,Peter Greenaway
0000426,Jennifer Grey
0000433,Corey Haim
0000434,Mark Hamill
0000439,Neil Patrick Harris
0000440,Nina Hartley
0000447,Marilu Henner
0000472,Boris Karloff
0000481,Alice Krige
0000485,Fritz Lang
0000486,Heather Langenkamp
0000489,Christopher Lee
0000503,Emily Lloyd
0000519,David Mamet
0000520,Michael Mann
0000522,Vanessa Marcil
0000528,Mathilda May
0000544,Carmen Miranda
0000577,George Peppard
0000578,Anthony Perkins
0000589,Eve Plumb
0000620,Mickey Rourke
0000622,Theresa Russell
0000625,Fred Savage
0000632,Jerry Seinfeld
0000633,Tom Selleck
0000644,Helen Slater
0000645,Anna Nicole Smith
0000647,Alan Smithee
0000663,Dominique Swain
0000680,Casper Van Dien
0000692,Teri Weigel
0000712,Steve Cohen
0000717,Kareem Abdul-Jabbar
0000720,Jim Abrahams
0000724,Brooke Adams
0000733,Anouk Aimée
0000737,Jane Alexander
0000738,Muhammad Ali
0000743,Néstor Almendros
0000745,Carol Alt
0000746,Trini Alvarado
0000748,Leon Ames
0000756,Loni Anderson
0000761,Bibi Andersson
0000776,Michael Apted
0000780,Denys Arcand
0000782,Asia Argento
0000785,Alison Armitage
0000786,George Armitage
0000787,Bess Armstrong
0000795,Jean Arthur
0000802,Mary Astor
0000808,Paul Auster
0000814,John G. Avildsen
0000816,Jon Avnet
0000820,Burt Bacharach
0000825,Mary Badham
0000829,Stuart Baird
0000840,Lucille Ball
0000841,Michael Ballhaus
0000849,Javier Bardem
0000850,Clive Barker
0000851,Lex Barker
0000853,Bruno Barreto
0000861,Freddie Bartholomew
0000863,Billy Barty
0000873,Belinda Bauer
0000874,Steven Bauer
0000881,Michael Bay
0000882,Nathalie Baye
0000888,Meret Becker
0000890,Noah Beery Jr.
0000894,Jean-Jacques Beineix
0000895,Barbara Bel Geddes
0000899,Monica Bellucci
0000903,Brian Benben
0000908,David Bennent
0000910,Joan Bennett
0000912,Jack Benny
0000913,Robby Benson
0000920,Patrick Bergin
0000922,Sandahl Bergman
0000923,Busby Berkeley
0000931,Elizabeth Berridge
0000934,Bernardo Bertolucci
0000937,Richard Beymer
0000941,Kathryn Bigelow
0000944,Antonia Bird
0000946,Whit Bissell
0000947,Karen Black
0000949,Cate Blanchett
0000950,Brenda Blethyn
0000951,Joan Blondell
0000953,Peter Bogdanovich
0000958,John Boorman
0000960,Barry Bostwick
0000961,Timothy Bottoms
0000963,Stephen Boyd
0000967,Eric Braeden
0000968,Sônia Braga
0000970,Jonathan Brandis
0000974,Walter Brennan
0000981,James Brolin
0000990,Betty Buckley
0000992,Billie Burke
0001012,Claudia Cardinale
0001013,Harry Carey Jr.
0001014,Mariah Carey
0001017,John Carradine
0001019,Robert Carradine
0001023,John Cassavetes
0001030,John Cazale
0001032,Marilyn Chambers
0001033,Lon Chaney Jr.
0001036,Geraldine Chaplin
0001037,Graham Chapman
0001041,Maggie Cheung
0001043,Anna Chlumsky
0001044,Rae Dawn Chong
0001047,Michael Cimino
0001048,Andrew Dice Clay
0001055,Claudette Colbert
0001066,Robert Conrad
0001070,Bill Cosby
0001074,Ronny Cox
0001081,Cameron Crowe
0001102,Joe Dante
0001104,Frank Darabont
0001105,Linda Darnell
0001119,Yvonne De Carlo
0001126,Kim Delaney
0001139,Tom DiCillo
0001153,Lesley-Anne Down
0001155,Patrick Duffy
0001157,Patty Duke
0001158,Keir Dullea
0001163,Roy Dupuis
0001173,Aaron Eckhart
0001174,Barbara Eden
0001177,Chris Eigeman
0001181,Jack Elam
0001184,Jenna Elfman
0001186,Denholm Elliott
0001190,David Prowse
0001198,Debrah Farentino
0001200,Gary Farmer
0001202,Rainer Werner Fassbinder
0001204,Marty Feldman
0001205,Norman Fell
0001207,José Ferrer
0001212,Joseph Fiennes
